,activity_participation,cohort,institution_id,label,label_extended,release_year,source_id,license_info.exceptions_contact,license_info.history,license_info.id,license_info.license,license_info.source_specific_info,license_info.url,model_component.aerosol.description,model_component.aerosol.native_nominal_resolution,model_component.atmos.description,model_component.atmos.native_nominal_resolution,model_component.atmosChem.description,model_component.atmosChem.native_nominal_resolution,model_component.land.description,model_component.land.native_nominal_resolution,model_component.landIce.description,model_component.landIce.native_nominal_resolution,model_component.ocean.description,model_component.ocean.native_nominal_resolution,model_component.ocnBgchem.description,model_component.ocnBgchem.native_nominal_resolution,model_component.seaIce.description,model_component.seaIce.native_nominal_resolution,model_component.seaIce.native_ominal_resolution
32,"['CFMIP', 'CMIP', 'DAMIP', 'DCPP', 'FAFMIP', 'GMMIP', 'HighResMIP', 'ISMIP6', 'LS3MIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['CNRM-CERFACS'],CNRM-CM6-1,CNRM-CM6-1,2017,CNRM-CM6-1,@cerfacs.fr <- contact.cmip6,2018-06-26: initially published under CC BY-NC-SA 4.0; 2022-06-17: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,prescribed monthly fields computed by TACTIC_v2 scheme,250 km,Arpege 6.3 (T127; Gaussian Reduced with 24572 grid points in total distributed over 128 latitude circles (with 256 grid points per latitude circle between 30degN and 30degS reducing to 20 grid points per latitude circle at 88.9degN and 88.9degS); 91 levels; top level 78.4 km),250 km,OZL_v2,250 km,Surfex 8.0c,250 km,none,none,"Nemo 3.6 (eORCA1, tripolar primarily 1deg; 362 x 294 longitude/latitude; 75 levels; top grid cell 0-1 m)",100 km,none,none,Gelato 6.1,100 km,
33,"['CMIP', 'DCPP', 'GMMIP', 'HighResMIP', 'OMIP', 'ScenarioMIP']",['Published'],['CNRM-CERFACS'],CNRM-CM6-1-HR,CNRM-CM6-1-HR,2017,CNRM-CM6-1-HR,@cerfacs.fr <- contact.cmip6,2019-02-21: initially published under CC BY-NC-SA 4.0; 2022-06-17: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,prescribed monthly fields computed by TACTIC_v2 scheme,100 km,Arpege 6.3 (T359; Gaussian Reduced with 181724 grid points in total distributed over 360 latitude circles (with 720 grid points per latitude circle between 32.2degN and 32.2degS reducing to 18 grid points per latitude circle at 89.6degN and 89.6degS); 91 levels; top level 78.4 km),100 km,OZL_v2,100 km,Surfex 8.0c,100 km,none,none,"Nemo 3.6 (eORCA025, tripolar primarily 1/4deg; 1442 x 1050 longitude/latitude; 75 levels; top grid cell 0-1 m)",25 km,none,none,Gelato 6.1,25 km,
34,"['AerChemMIP', 'C4MIP', 'CDRMIP', 'CMIP', 'CORDEX', 'DCPP', 'GMMIP', 'GeoMIP', 'LS3MIP', 'LUMIP', 'OMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['CNRM-CERFACS'],CNRM-ESM2-1,CNRM-ESM2-1,2017,CNRM-ESM2-1,@meteo.fr <- contact.cmip,2018-09-14: initially published under CC BY-NC-SA 4.0; 2022-06-17: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,TACTIC_v2,250 km,Arpege 6.3 (T127; Gaussian Reduced with 24572 grid points in total distributed over 128 latitude circles (with 256 grid points per latitude circle between 30degN and 30degS reducing to 20 grid points per latitude circle at 88.9degN and 88.9degS); 91 levels; top level 78.4 km),250 km,REPROBUS-C_v2,250 km,Surfex 8.0c,250 km,none,none,"Nemo 3.6 (eORCA1, tripolar primarily 1deg; 362 x 294 longitude/latitude; 75 levels; top grid cell 0-1 m)",100 km,Pisces 2.s,100 km,Gelato 6.1,100 km,
35,"['C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'CORDEX', 'DAMIP', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['CCCma'],CanESM5,CanESM5,2019,CanESM5,@ec.gc.ca <- f.cccma.info-info.ccmac.f,2019-03-06: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,500 km,"CanAM5 (T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa)",500 km,specified oxidants for aerosols,500 km,CLASS3.6/CTEM1.2,500 km,specified ice sheets,500 km,"NEMO3.4.1 (ORCA1 tripolar grid, 1 deg with refinement to 1/3 deg within 20 degrees of the equator; 361 x 290 longitude/latitude; 45 vertical levels; top grid cell 0-6.19 m)",100 km,Canadian Model of Ocean Carbon (CMOC); NPZD ecosystem with OMIP prescribed carbonate chemistry,100 km,LIM2,100 km,
36,"['C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'CORDEX', 'DAMIP', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['CCCma'],CanESM5.1,CanESM5.1,2022,CanESM5-1,@ec.gc.ca <- f.cccma.info-info.ccmac.f,2022-12-02: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,500 km,"CanAM5.1 (T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa)",500 km,specified oxidants for aerosols,500 km,CLASS3.6/CTEM1.2,500 km,specified ice sheets,500 km,"NEMO3.4.1 (ORCA1 tripolar grid, 1 deg with refinement to 1/3 deg within 20 degrees of the equator; 361 x 290 longitude/latitude; 45 vertical levels; top grid cell 0-6.19 m)",100 km,Canadian Model of Ocean Carbon (CMOC); NPZD ecosystem with OMIP prescribed carbonate chemistry,100 km,LIM2,100 km,
37,"['C4MIP', 'CDRMIP', 'CMIP', 'OMIP', 'ScenarioMIP']",['Published'],['CCCma'],CanESM5-CanOE,CanESM5-CanOE,2019,CanESM5-CanOE,@ec.gc.ca <- f.cccma.info-info.ccmac.f,2019-04-29: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,500 km,"CanAM5 (T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa)",500 km,specified oxidants for aerosols,500 km,CLASS3.6/CTEM1.2,500 km,specified ice sheets,500 km,"NEMO3.4.1 (ORCA1 tripolar grid, 1 deg with refinement to 1/3 deg within 20 degrees of the equator; 361 x 290 longitude/latitude; 45 vertical levels; top grid cell 0-6.19 m)",100 km,Canadian Ocean Ecosystem (CanOE) with OMIP prescribed carbon chemistry,100 km,LIM2,100 km,
38,"['CFMIP', 'CMIP', 'DAMIP', 'PAMIP', 'ScenarioMIP']",['Published'],"['E3SM-Project', 'LLNL', 'UCI', 'UCSB']",E3SM 1.0,E3SM 1.0 (Energy Exascale Earth System Model),2018,E3SM-1-0,@llnl.gov <- e3sm-data-support,2019-02-06: initially published under CC BY-SA 4.0; 2022-06-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"MAM4 with resuspension, marine organics, and secondary organics (same grid as atmos)",100 km,"EAM (v1.0, cubed sphere spectral-element grid; 5400 elements with p=3; 1 deg average grid spacing; 90 x 90 x 6 longitude/latitude/cubeface; 72 levels; top level 0.1 hPa)",100 km,Troposphere specified oxidants for aerosols. Stratosphere linearized interactive ozone (LINOZ v2) (same grid as atmos),100 km,"ELM (v1.0, cubed sphere spectral-element grid; 5400 elements with p=3; 1 deg average grid spacing; 90 x 90 x 6 longitude/latitude/cubeface; satellite phenology mode), MOSART (v1.0, 0.5 degree latitude/longitude grid)",100 km,none,none,"MPAS-Ocean (v6.0, oEC60to30 unstructured SVTs mesh with 235160 cells and 714274 edges, variable resolution 60 km to 30 km; 60 levels; top grid cell 0-10 m)",50 km,none,none,"MPAS-Seaice (v6.0, same grid as ocean)",50 km,
39,"['C4MIP', 'CMIP', 'DAMIP', 'LS3MIP', 'ScenarioMIP']",['Published'],"['E3SM-Project', 'RUBISCO']",E3SM 1.1,E3SM 1.1 (Energy Exascale Earth System Model),2019,E3SM-1-1,@llnl.gov <- e3sm-data-support,2019-10-29: initially published under CC BY-SA 4.0; 2022-06-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"MAM4 with resuspension, marine organics, and secondary organics (same grid as atmos)",100 km,"EAM (v1.1, cubed sphere spectral-element grid; 5400 elements with p=3; 1 deg average grid spacing; 90 x 90 x 6 longitude/latitude/cubeface; 72 levels; top level 0.1 hPa)",100 km,Troposphere specified oxidants for aerosols. Stratosphere linearized interactive ozone (LINOZ v2) (same grid as atmos),100 km,"ELM (v1.1, same grid as atmos; active biogeochemistry using the Converging Trophic Cascade plant and soil carbon and nutrient mechanisms to represent carbon, nitrogen and phosphorus cycles), MOSART (v1.1, 0.5 degree latitude/longitude grid)",100 km,none,none,"MPAS-Ocean (v6.0, oEC60to30 unstructured SVTs mesh with 235160 cells and 714274 edges, variable resolution 60 km to 30 km; 60 levels; top grid cell 0-10 m)",50 km,"BEC (Biogeochemical Elemental Cycling model, NPZD-type with C/N/P/Fe/Si/O; same grid as ocean)",50 km,MPAS-Seaice (v6.0; same grid as ocean),50 km,
40,"['C4MIP', 'CMIP', 'ScenarioMIP']",['Published'],['E3SM-Project'],E3SM 1.1 ECA,E3SM 1.1 (Energy Exascale Earth System Model) with an experimental land BGC ECA configuration,2019,E3SM-1-1-ECA,@llnl.gov <- e3sm-data-support,2019-12-16: initially published under CC BY-SA 4.0; 2022-06-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"MAM4 with resuspension, marine organics, and secondary organics (same grid as atmos)",100 km,"EAM (v1.1, cubed sphere spectral-element grid; 5400 elements with p=3; 1 deg average grid spacing; 90 x 90 x 6 longitude/latitude/cubeface; 72 levels; top level 0.1 hPa)",100 km,Troposphere specified oxidants for aerosols. Stratosphere linearized interactive ozone (LINOZ v2) (same grid as atmos),100 km,"ELM (v1.1, same as atmos; active biogeochemistry using the Equilibrium Chemistry Approximation to represent plant and soil carbon and nutrient mechanisms especially carbon, nitrogen and phosphorus limitation), MOSART (v1.1, 0.5 degree latitude/longitude grid)",100 km,none,none,"MPAS-Ocean (v6.0, oEC60to30 unstructured SVTs mesh with 235160 cells and 714274 edges, variable resolution 60 km to 30 km; 60 levels; top grid cell 0-10 m)",50 km,"BEC (Biogeochemical Elemental Cycling model, NPZD-type with C/N/P/Fe/Si/O; same grid as ocean)",50 km,MPAS-Seaice (v6.0; same grid as ocean),50 km,
41,"['CFMIP', 'CMIP', 'DAMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['E3SM-Project'],E3SM 2.0,E3SM 2.0 (Energy Exascale Earth System Model),2022,E3SM-2-0,@llnl.gov <- e3sm-data-support,2022-08-23: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"MAM4 with new resuspension, marine organics, secondary organics, and dust (atmos grid)",100 km,"EAM (v2.0, cubed sphere spectral-element grid; 5400 elements, 30x30 per cube face. Dynamics: degree 3 (p=3) polynomials within each spectral element, 112 km average resolution. Physics: 2x2 finite volume cells within each spectral element, 1.5 degree (168 km) average grid spacing; 72 vertical layers; top level 60 km)",100 km,Troposphere specified oxidants (except passive ozone with the lower boundary sink) for aerosols. Stratosphere linearized interactive ozone (LINOZ v2) (atmos grid),100 km,"ELM (v1.0, satellite phenology mode, atmos grid), MOSART (v1.0, 0.5 degree latitude/longitude)",100 km,none,none,"MPAS-Ocean (E3SMv2.0, EC30to60E2r2 unstructured SVTs mesh with 236853 cells, 719506 edges, variable resolution 60 to 30 km; 60 levels; top grid cell 0-10 m)",50 km,none,none,"MPAS-Seaice (E3SMv2.0, ocean grid; 5 ice categories; 7 ice, 5 snow layers)",50 km,
42,['CMIP'],['Published'],['E3SM-Project'],E3SM 2.0 NARRM,E3SM 2.0 NARRM (Energy Exascale Earth System Model version 2.0 North American Regionally Refined Model),2022,E3SM-2-0-NARRM,@llnl.gov <- e3sm-data-support,2023-04-26: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"MAM4 w/ new resuspension, marine organics, secondary organics, and dust (atmos grid)",100 km,"EAM (v2.0, Dynamics: cubed sphere spectral-element grid, 130,088 columns; Physics: 2x2 finite volume cells within each spectral element, 57,816 columns. N. American (NA): 25 to 100 km; outside ~100 km. 72 vertical layers w/ top at 60 km)",100 km,Troposphere specified oxidants (except passive ozone with the lower boundary sink) for aerosols. Stratosphere linearized interactive ozone (LINOZ v2) (atmos grid),100 km,"ELM (v1.0, satellite phenology mode, atmos grid), MOSART (v1.0, 0.125 degree latitude/longitude)",10 km,none,none,"MPAS-Ocean (E3SMv2.0, WC14to60E2r5 unstructured SCVTs mesh with 407420 cells, 1240672 edges, NA: ~14 km; outside: 30 to 60 km; 60 levels; top grid cell 0-10 m)",50 km,none,none,"MPAS-Seaice (E3SMv2.0, ocean grid, variable resolution 30 to 60 km; 5 ice categories; 7 ice, 5 snow layers)",50 km,
43,['CMIP'],['Registered'],['E3SM-Project'],E3SM 2.1,E3SM 2.1 (Energy Exascale Earth System Model),2024,E3SM-2-1,@llnl.gov <- e3sm-data-support,2024-01-30: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"MAM4 w/ new resuspension, marine organics, secondary organics, and dust (atmos physics grid)",100 km,"EAM (E3SMv2.1, cubed sphere spectral-element; 5400 els., 30x30 per cube face. Dynamics: degree 3 (p=3) polynomials within each spectral els., 112 km ave. resolution. Physics: 2x2 finite volume cells within each spectral els., 1.5 degree (168 km) average grid spacing; 72 vertical layers w/ top at 60 km)",100 km,Troposphere specified oxidants (except passive ozone with the lower boundary sink) for aerosols. Stratosphere linearized interactive ozone (LINOZ v2) (atmos physics grid),100 km,"ELM (E3SMv2.1, atmos physics grid, satellite phenology mode), MOSART (E3SMv2.1, 0.5 deg lat/lon grid)",100 km,none,none,"MPAS-Ocean (E3SMv2.1, EC30to60E2r2 unstructured SVTs mesh with 236853 cells and 719506 edges, variable resolution 60 km to 30 km; 60 levels; top grid cell 0-10 m)",50 km,none,none,"MPAS-Seaice (E3SMv2.1, MPAS-Ocean grid; 5 ice categories, 7 ice layers, 5 snow layers)",50 km,
44,"['CMIP', 'CORDEX', 'DAMIP', 'DCPP', 'DynVarMIP', 'LS3MIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3,EC Earth 3.3,2019,EC-Earth3,@ec-earth.org <- cmip6-data,2019-04-05: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa)",100 km,none,none,HTESSEL (land surface scheme built in IFS),100 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 deg with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
45,"['AerChemMIP', 'CMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3-AerChem,EC-Earth3-AerChem,2019,EC-Earth3-AerChem,@ec-earth.org <- cmip6-data,2020-06-22: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,TM5 (3 x 2 degrees; 120 x 90 longitude/latitude; 34 levels; top level: 0.1 hPa),250 km,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa)",100 km,TM5 (3 x 2 degrees; 120 x 90 longitude/latitude; 34 levels; top level: 0.1 hPa),250 km,HTESSEL (land surface scheme built in IFS),100 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
46,"['C4MIP', 'CDRMIP', 'CMIP', 'DCPP', 'LUMIP', 'OMIP', 'ScenarioMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3-CC,EC-Earth3-CC,2019,EC-Earth3-CC,@ec-earth.org <- cmip6-data,2020-12-29: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa)",100 km,TM5 (3 x 2 degrees; 120 x 90 longitude/latitude; 34 levels; top level: 0.1 hPa),250 km,HTESSEL (land surface scheme built in IFS) and LPJ-GUESS v4,100 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,PISCES v2,100 km,LIM3,100 km,
47,"['C4MIP', 'CDRMIP', 'CMIP', 'DCPP', 'LUMIP', 'OMIP', 'ScenarioMIP']",['Registered'],['EC-Earth-Consortium'],EC-Earth3-ESM-1,EC-Earth3-ESM-1,2024,EC-Earth3-ESM-1,@ec-earth.org <- cmip6-data,,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa) and co2box v1.0 (CO2 box model; global grid)",100 km,none,none,HTESSEL (land surface scheme built in IFS) and LPJ-GUESS v4.1.2 (same grid as atmos),100 km,"PISM v1.2 (5 km x 5 km for Greenland, 31 levels)",5 km,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m) and MWE v1.0 (Melt Water Emulator; same grid as ocean for Antarctic surroundings),100 km,PISCES v2 (same grid as ocean),100 km,LIM3 (same grid as ocean),100 km,
48,"['CMIP', 'ISMIP6', 'PMIP']",['Registered'],['EC-Earth-Consortium'],EC-Earth3-GrIS,EC-Earth3-GrIS,2023,EC-Earth3-GrIS,@ec-earth.org <- cmip6-data,,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa)",100 km,none,none,HTESSEL (land surface scheme built in IFS),100 km,"PISM v1.2 (5 km x 5 km for Greenland, 31 levels)",5 km,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
49,"['CMIP', 'DCPP', 'HighResMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3-HR,EC-Earth3-HR,2019,EC-Earth3-HR,@ec-earth.org <- cmip6-data,2022-06-27: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL511, linearly reduced Gaussian grid equivalent to 1024 x 512 longitude/latitude; 91 levels; top level 0.01 hPa)",50 km,none,none,HTESSEL (land surface scheme built in IFS),50 km,none,none,NEMO3.6 (ORCA025 tripolar primarily 0.25 degrees; 1442 x 1921 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,LIM3,25 km,
50,"['CMIP', 'PMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3-LR,EC-Earth3-LR,2019,EC-Earth3-LR,@ec-earth.org <- cmip6-data,2019-01-03: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL159, linearly reduced Gaussian grid equivalent to 320 x 160 longitude/latitude; 62 levels; top level 5 hPa)",250 km,none,none,HTESSEL (land surface scheme built in IFS),250 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
51,"['CDRMIP', 'CMIP', 'CORDEX', 'LS3MIP', 'LUMIP', 'ScenarioMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3-Veg,EC-Earth3-Veg,2019,EC-Earth3-Veg,@ec-earth.org <- cmip6-data,2019-04-10: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa)",100 km,none,none,HTESSEL (land surface scheme built in IFS) and LPJ-GUESS v4,100 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
52,"['CMIP', 'PMIP', 'ScenarioMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3-Veg-LR,EC-Earth3-Veg-LR,2019,EC-Earth3-Veg-LR,@ec-earth.org <- cmip6-data,2020-02-13: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL159, linearly reduced Gaussian grid equivalent to 320 x 160 longitude/latitude; 62 levels; top level 5 hPa)",250 km,none,none,HTESSEL (land surface scheme built in IFS) and LPJ-GUESS v4,250 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
53,"['CMIP', 'HighResMIP']",['Published'],['EC-Earth-Consortium'],EC-Earth3P,EC-Earth 3.2 in PRIMAVERA,2017,EC-Earth3P,@ec-earth.org <- cmip6-data,2017-09-11: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL255, linearly reduced Gaussian grid equivalent to 512 x 256 longitude/latitude; 91 levels; top level 0.01 hPa)",100 km,none,none,HTESSEL (land surface scheme built in IFS),100 km,none,none,NEMO3.6 (ORCA1 tripolar primarily 1 degree with meridional refinement down to 1/3 degree in the tropics; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM3,100 km,
54,['HighResMIP'],['Published'],['EC-Earth-Consortium'],EC-Earth3P-HR,EC-Earth3P-HR in PRIMAVERA,2017,EC-Earth3P-HR,@ec-earth.org <- cmip6-data,2017-08-11: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL511, linearly reduced Gaussian grid equivalent to 1024 x 512 longitude/latitude; 91 levels; top level 0.01 hPa)",50 km,none,none,HTESSEL (land surface scheme built in IFS),50 km,none,none,NEMO3.6 (ORCA025; tripolar primarily 0.25 degrees; 1442 x 1921 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,LIM3,25 km,
55,['HighResMIP'],['Published'],['EC-Earth-Consortium'],EC-Earth3P-VHR,EC-Earth3P-VHR in PRIMAVERA,2017,EC-Earth3P-VHR,@bsc.es <- pierre-antoine.bretonniere,2020-10-07: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS cy36r4 (TL1279, linearly reduced Gaussian grid equivalent to 2560 x 1280 longitude/latitude; 91 levels; top level 0.01 hPa)",25 km,none,none,HTESSEL (land surface scheme built in IFS),25 km,none,none,NEMO3.6 (ORCA012 tripolar primarily 0.08 degrees; 4322 x 3059 longitude/latitude; 75 levels; top grid cell 0-1 m),10 km,none,none,LIM3,10 km,
56,['HighResMIP'],['Published'],['ECMWF'],ECMWF-IFS-HR,ECMWF-IFS-HR (25 km atmosphere and 25 km ocean),2017,ECMWF-IFS-HR,@ecmwf.int <- christopher.roberts,2017-09-15: initially published under CC BY-NC-SA 4.0; 2022-07-26: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS (IFS CY43R1, Tco399, cubic octahedral reduced Gaussian grid equivalent to 1600 x 800 longitude/latitude; 91 levels; top level 0.01 hPa)",25 km,none,none,HTESSEL (as implemented in IFS CY43R1),25 km,none,none,NEMO3.4 (NEMO v3.4; ORCA025 tripolar grid; 1442 x 1021 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,LIM2 (LIM v2; ORCA025 tripolar grid; 1442 x 1021 longitude/latitude),25 km,
