,canonical_units,grib,amip,description,id
1124,kg m-2 s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage. Runoff flux over land ice is the difference between any available liquid water in the snowpack due to rainfall and melting minus any refreezing and liquid water retained in the snowpack. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",land_ice_runoff_flux
1125,1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves.",land_ice_sigma_coordinate
1126,kg m-2 s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. ""Specific mass flux due to calving"" means the change in land ice mass per unit area resulting from iceberg calving. A negative value means loss of ice. For an area-average, the cell_methods attribute should be used to specify whether the average is over the area of the whole grid cell or the area of land ice only. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.",land_ice_specific_mass_flux_due_to_calving
1127,kg m-2 s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Specific mass flux due to calving and ice front melting"" means the change in land ice mass per unit area resulting from iceberg calving and melting on the vertical ice front. A negative value means loss of ice. For an area-average, the cell_methods attribute should be used to specify whether the average is over the area of the whole grid cell or the area of land ice only. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.",land_ice_specific_mass_flux_due_to_calving_and_ice_front_melting
1128,kg m-2 s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The surface called ""surface"" means the lower boundary of the atmosphere. The land_ice_surface_melt_flux is the loss of ice mass resulting from surface melting. For an area-average, the cell_methods attribute should be used to specify whether the average is over the area of the whole grid cell or the area of land ice only. There is also a standard name for the quantity surface_snow_and_ice_melt_flux.",land_ice_surface_melt_flux
1129,kg m-2 s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Specific mass balance"" means the net rate at which ice is added per unit area. A negative value means loss of ice. For an area-average, the cell_methods attribute should be used to specify whether the average is over the area of the whole grid cell or the area of land ice only. ""Surface specific mass balance"" means the net rate at which ice is added per unit area at the land ice surface due to all processes of surface accumulation and ablation.",land_ice_surface_specific_mass_balance_flux
1130,m s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. Specific mass balance means the net rate at which ice is added at the land ice surface due to all processes of surface accumulation and ablation. A negative value means loss of ice.",land_ice_surface_specific_mass_balance_rate
1131,m s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. A velocity is a vector quantity. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). The surface called ""surface"" means the lower boundary of the atmosphere.",land_ice_surface_upward_velocity
1132,m s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. A velocity is a vector quantity. ""x"" indicates a vector component along the grid x-axis, positive with increasing x. The surface called ""surface"" means the lower boundary of the atmosphere.",land_ice_surface_x_velocity
1133,m s-1,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. A velocity is a vector quantity. ""y"" indicates a vector component along the grid y-axis, positive with increasing y. The surface called ""surface"" means the lower boundary of the atmosphere.",land_ice_surface_y_velocity
1134,K,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. It is strongly recommended that a variable with this standard name should have a units_metadata attribute, with one of the values ""on-scale"" or ""difference"", whichever is appropriate for the data, because it is essential to know whether the temperature is on-scale (meaning relative to the origin of the scale indicated by the units) or refers to temperature differences (implying that the origin of the temperature scale is irrevelant), in order to convert the units correctly (cf. https://cfconventions.org/cf-conventions/cf-conventions.html#temperature-units).",land_ice_temperature
1135,m,,,"""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. ""Thickness"" means the vertical extent of a layer.",land_ice_thickness
1136,m s-1,,,"A velocity is a vector quantity. ""x"" indicates a vector component along the grid x-axis, positive with increasing x. ""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. The vertical mean land ice velocity is the average from the bedrock to the surface of the ice.",land_ice_vertical_mean_x_velocity
1137,m s-1,,,"A velocity is a vector quantity. ""y"" indicates a vector component along the grid y-axis, positive with increasing y. ""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves. The vertical mean land ice velocity is the average from the bedrock to the surface of the ice.",land_ice_vertical_mean_y_velocity
1138,m s-1,,,"A velocity is a vector quantity. ""x"" indicates a vector component along the grid x-axis, positive with increasing x. ""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves.",land_ice_x_velocity
1139,m s-1,,,"A velocity is a vector quantity. ""y"" indicates a vector component along the grid y-axis, positive with increasing y. ""Land ice"" means glaciers, ice-caps and ice-sheets resting on bedrock and also includes ice-shelves.",land_ice_y_velocity
1140,kg m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Amount"" means mass per unit area. The quantity with standard name land_surface_liquid_water_amount includes water in rivers, wetlands, lakes, reservoirs and liquid precipitation intercepted by the vegetation canopy.",land_surface_liquid_water_amount
1141,kg m-2,,,"""Amount"" means mass per unit area. ""Water"" means water in all phases. The phrase ""land_water_amount"", often known as ""Terrestrial Water Storage"", includes: surface liquid water (water in rivers, wetlands, lakes, reservoirs, rainfall intercepted by the canopy); surface ice and snow (glaciers, ice caps, grounded ice sheets not displacing sea water, river and lake ice, other surface ice such as frozen flood water, snow lying on the surface and intercepted by the canopy); subsurface water (liquid and frozen soil water, groundwater).",land_water_amount
1142,degree_north,,latitude,"Latitude is positive northward; its units of degree_north (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid_latitude should be used instead of latitude. Grid latitude is positive in the grid-northward direction, but its units should be plain degree.",latitude
1143,1,,,"""X_area"" means the horizontal area occupied by X within the grid cell.",leaf_area_index
1144,kg m-2,,,"""Content"" indicates a quantity per unit area.",leaf_mass_content_of_carbon
1145,kg m-2,,,"""Content"" indicates a quantity per unit area.",leaf_mass_content_of_nitrogen
1146,1,,,"Left singular vectors of the matrix representing the logarithmic scale remote sensing averaging kernels (Weber 2019; Schneider et al., 2022) of the methane mole fractions obtained by a remote sensing observation (fractional changes of methane in the retrieved atmosphere relative to the fractional changes of methane in the true atmosphere, Rodgers 2000; Keppens et al., 2015).",left_singular_vector_of_remote_sensing_averaging_kernel_of_logarithm_of_mole_fraction_of_methane_in_air
1147,1,,,"Left singular vectors of the matrix representing the remote sensing averaging kernels (Weber 2019; Schneider et al., 2022) of the methane mole fractions obtained by a remote sensing observation (changes of methane in the retrieved atmosphere relative to the changes of methane in the true atmosphere, Rodgers 2000).",left_singular_vector_of_remote_sensing_averaging_kernel_of_mole_fraction_of_methane_in_air
1148,J kg-1,,,"The lightning_potential_index measures the potential for charge generation and separation that leads to lightning flashes in convective thunderstorms. It is derived from the model simulated grid-scale updraft velocity and the mass mixing-ratios of liquid water, cloud ice, snow, and graupel.",lightning_potential_index
1149,J,,,"The standard name ""lightning radiant energy"" means the energy emitted as electromagnetic radiation due to lightning. A coordinate variable of radiation_wavelength, radiation_frequency, or sensor_band_central_wavelength may be specified to indicate that the lightning_radiant_energy applies at specific wavelengths or frequencies. Bounds of the time and spatial coordinates may be specified to indicate the time interval and spatial extent over which the energy is emitted.",lightning_radiant_energy
1150,1,,,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area, or if the cell_methods restricts the evaluation to some portion of that grid cell (e.g. ""where sea_ice""), then it is the area of interest divided by the area of the identified portion. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. The cloud area fraction is for the whole atmosphere column, as seen from the surface or the top of the atmosphere. For the cloud area fraction between specified levels in the atmosphere, standard names including ""cloud_area_fraction_in_atmosphere_layer"" are used. Standard names also exist for high, medium and low cloud types. ""Cloud area fraction is also called ""cloud amount"" and ""cloud cover"".",liquid_water_cloud_area_fraction
1151,1,,,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area, or if the cell_methods restricts the evaluation to some portion of that grid cell (e.g. ""where sea_ice""), then it is the area of interest divided by the area of the identified portion. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be ""model_level_number"", but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Standard names also exist for high, medium and low cloud types. Standard names referring only to ""cloud_area_fraction"" should be used for quantities for the whole atmosphere column. Cloud area fraction is also called ""cloud amount"" and ""cloud cover"".",liquid_water_cloud_area_fraction_in_atmosphere_layer
1152,kg m-2,,,"""Content"" indicates a quantity per unit area.  Permafrost is soil or rock that has remained at a temperature at or below zero degrees Celsius throughout the seasonal cycle for two or more years.",liquid_water_content_of_permafrost_layer
1153,kg m-2,,,"""Content"" indicates a quantity per unit area. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be model_level_number, but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Quantities defined for a soil layer must have a vertical coordinate variable with boundaries indicating the extent of the layer(s).",liquid_water_content_of_soil_layer
1154,kg m-2,,,"""Content"" indicates a quantity per unit area. Surface snow refers to the snow on the solid ground or on surface ice cover, but excludes, for example, falling snowflakes and snow on plants.",liquid_water_content_of_surface_snow
1155,kg m-2 s-1,,,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. Surface snow refers to the snow on the solid ground or on surface ice cover, but excludes, for example, falling snowflakes and snow on plants. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.",liquid_water_mass_flux_into_soil_due_to_surface_snow_melt
1156,kg m-2,,,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. ""C"" means the element carbon and ""13C"" is the stable isotope ""carbon-13"", having six protons and seven neutrons.",litter_mass_content_of_13C
1157,kg m-2,,,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. ""C"" means the element carbon and ""14C"" is the radioactive isotope ""carbon-14"", having six protons and eight neutrons and used in radiocarbon dating.",litter_mass_content_of_14C
1158,kg m-2,,,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.",litter_mass_content_of_carbon
1159,kg m-2,,,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. The sum of the quantities with standard names surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen has the standard name litter_mass_content_of_nitrogen.",litter_mass_content_of_nitrogen
1160,1,,,"A quality flag that reports the result of the Location test, which checks that a location is within reasonable bounds. The linkage between the data variable and this variable is achieved using the ancillary_variables attribute. There are standard names for other specific quality tests which take the form of X_quality_flag. Quality information that does not match any of the specific quantities should be given the more general standard name of quality_flag.",location_test_quality_flag
1161,m-3,,,"The aerosol particle number size distribution is the number concentration of aerosol particles, normalised to the decadal logarithmic size interval the concentration applies to, as a function of particle diameter. A coordinate variable with the standard name of electrical_mobility_particle_diameter, aerodynamic_particle_diameter, or optical_particle_diameter should be specified to indicate that the property applies at specific particle sizes selected by the indicated method. To specify the relative humidity at which the particle sizes were selected, provide a scalar coordinate variable with the standard name of relative_humidity_for_aerosol_particle_size_selection. ""log10_X"" means common logarithm (i.e. base 10) of X. ""stp"" means standard temperature (0 degC) and pressure (101325 Pa).",log10_size_interval_based_number_size_distribution_of_aerosol_particles_at_stp_in_air
1162,m-3,,,"The aerosol particle number size distribution is the number concentration of aerosol particles, normalised to the decadal logarithmic size interval the concentration applies to, as a function of particle diameter. A coordinate variable with the standard name of electrical_mobility_particle_diameter, aerodynamic_particle_diameter, or optical_particle_diameter should be specified to indicate that the property applies at specific particle sizes selected by the indicated method. To specify the relative humidity at which the particle sizes were selected, provide a scalar coordinate variable with the standard name of relative_humidity_for_aerosol_particle_size_selection. ""log10_X"" means common logarithm (i.e. base 10) of X.",log10_size_interval_based_number_size_distribution_of_aerosol_particles_in_air
1163,m-3,,,"The cloud condensation nuclei number size distribution is the number concentration of aerosol particles, normalised to the decadal logarithmic size interval the concentration applies to, as a function of particle diameter, where the particle acts as condensation nucleus for liquid-phase clouds. A coordinate variable with the standard name of relative_humidity should be specified to indicate that the property refers to a specific supersaturation with respect to liquid water. A coordinate variable with the standard name of electrical_mobility_particle_diameter should be specified to indicate that the property applies at specific mobility particle sizes. To specify the relative humidity at which the particle sizes were selected, provide a scalar coordinate variable with the standard name of relative_humidity_for_aerosol_particle_size_selection. The ability of a particle to act as a condensation nucleus is determined by its size, chemical composition, and morphology. ""log10_X"" means common logarithm (i.e. base 10) of X. ""stp"" means standard temperature (0 degC) and pressure (101325 Pa).",log10_size_interval_based_number_size_distribution_of_cloud_condensation_nuclei_at_stp_in_air
1164,m-3,,,"The cloud condensation nuclei number size distribution is the number concentration of aerosol particles, normalised to the decadal logarithmic size interval the concentration applies to, as a function of particle diameter, where the particle acts as condensation nucleus for liquid-phase clouds. A coordinate variable with the standard name of relative_humidity should be specified to indicate that the property refers to a specific supersaturation with respect to liquid water. A coordinate variable with the standard name of electrical_mobility_particle_diameter should be specified to indicate that the property applies at specific mobility particle sizes. To specify the relative humidity at which the particle sizes were selected, provide a scalar coordinate variable with the standard name of relative_humidity_for_aerosol_particle_size_selection. The ability of a particle to act as a condensation nucleus is determined by its size, chemical composition, and morphology. ""log10_X"" means common logarithm (i.e. base 10) of X.",log10_size_interval_based_number_size_distribution_of_cloud_condensation_nuclei_in_air
1165,degree_east,,longitude,"Longitude is positive eastward; its units of degree_east (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid_longitude should be used instead of longitude. Grid longitude is positive in the grid-eastward direction, but its units should be plain degree.",longitude
1166,1,,,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area, or if the cell_methods restricts the evaluation to some portion of that grid cell (e.g. ""where sea_ice""), then it is the area of interest divided by the area of the identified portion. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. Low type clouds are: Stratus, Stratocumulus, Cumulus, Cumulonimbus. X_type_cloud_area_fraction is generally determined on the basis of cloud type, though Numerical Weather Prediction (NWP) models often calculate them based on the vertical location of the cloud. For the cloud area fraction between specified levels in the atmosphere, standard names including ""cloud_area_fraction_in_atmosphere_layer"" are used. Standard names referring only to ""cloud_area_fraction"" should be used for quantities for the whole atmosphere column. Cloud area fraction is also called ""cloud amount"" and ""cloud cover"".",low_type_cloud_area_fraction
1167,m s-1,,,"Convective precipitation is that produced by the convection schemes in an atmosphere model. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent. ""Precipitation rate"" means the depth or thickness of the layer formed by precipitation per unit time.",lwe_convective_precipitation_rate
1168,m s-1,,,"""lwe"" means liquid water equivalent.",lwe_convective_snowfall_rate
1169,m s-1,,,"""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent. ""Precipitation rate"" means the depth or thickness of the layer formed by precipitation per unit time.",lwe_precipitation_rate
1170,m s-1,,,"""lwe"" means liquid water equivalent.",lwe_snowfall_rate
1171,m s-1,,,"Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent. ""Precipitation rate"" means the depth or thickness of the layer formed by precipitation per unit time.",lwe_stratiform_precipitation_rate
1172,m s-1,,,"Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud.  ""lwe"" means liquid water equivalent.",lwe_stratiform_snowfall_rate
1173,m,E137,,"""lwe"" means liquid water equivalent. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. Atmosphere water vapor content is sometimes referred to as ""precipitable water"", although this term does not imply the water could all be precipitated.",lwe_thickness_of_atmosphere_mass_content_of_water_vapor
1174,m,,,"The abbreviation ""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Water"" means water in all phases, including frozen i.e. ice and snow. The canopy water is the water on the canopy. ""Canopy"" means the vegetative covering over a surface. The canopy is often considered to be the outer surfaces of the vegetation. Plant height and the distribution, orientation and shape of plant leaves within a canopy influence the atmospheric environment and many plant processes within the canopy. Reference: AMS Glossary http://glossary.ametsoc.org/wiki/Canopy.",lwe_thickness_of_canopy_water_amount
1175,m,E143,,"The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Convective precipitation is that produced by the convection schemes in an atmosphere model. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent.",lwe_thickness_of_convective_precipitation_amount
1176,m,,,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",lwe_thickness_of_convective_snowfall_amount
1177,m,,,"""frozen_water"" means ice. ""lwe"" means liquid water equivalent. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be model_level_number, but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Quantities defined for a soil layer must have a vertical coordinate variable with boundaries indicating the extent of the layer(s).",lwe_thickness_of_frozen_water_content_of_soil_layer
1178,m,,,"""lwe"" means liquid water equivalent. ""moisture"" means water in all phases contained in soil. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be model_level_number, but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Quantities defined for a soil layer must have a vertical coordinate variable with boundaries indicating the extent of the layer(s).",lwe_thickness_of_moisture_content_of_soil_layer
1179,m,,,"The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent.",lwe_thickness_of_precipitation_amount
1180,m,E144,,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",lwe_thickness_of_snowfall_amount
1181,m,E140,,"""lwe"" means liquid water equivalent. ""moisture"" means water in all phases contained in soil. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. For the content between specified levels in the soil, standard names including content_of_soil_layer are used.",lwe_thickness_of_soil_moisture_content
1182,m,E142,,"The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud. ""Precipitation"" in the earth's atmosphere means precipitation of water in all phases. The abbreviation ""lwe"" means liquid water equivalent.",lwe_thickness_of_stratiform_precipitation_amount
1183,m,,,"""Amount"" means mass per unit area.  ""lwe"" means liquid water equivalent.  The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.  Stratiform precipitation, whether liquid or frozen, is precipitation that formed in stratiform cloud.",lwe_thickness_of_stratiform_snowfall_amount
1184,m,E141,,"The abbreviation ""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Surface snow amount refers to the amount on the solid ground or on surface ice cover, but excludes, for example, falling snowflakes and snow on plants.",lwe_thickness_of_surface_snow_amount
1185,m,E182,,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. ""Water"" means water in all phases. Evaporation is the conversion of liquid or solid into vapor. (The conversion of solid alone into vapor is called ""sublimation"".)",lwe_thickness_of_water_evaporation_amount
1186,m s-1,,,"""lwe"" means liquid water equivalent. ""Water"" means water in all phases. Evaporation is the conversion of liquid or solid into vapor. (The conversion of solid alone into vapor is called ""sublimation"".)",lwe_water_evaporation_rate
1187,m s-1,,,"The quantity with standard name magnitude_of_air_velocity_relative_to_sea_water is the speed of the motion of the air relative to the near-surface current, usually derived from vectors. The components of the relative velocity vector have standard names eastward_air_velocity_relative_to_sea_water and northward_air_velocity_relative_to_sea_water. A vertical coordinate variable or scalar coordinate variable with standard name ""depth"" should be used to indicate the depth of sea water velocity used in the calculation. Similarly, a vertical coordinate variable or scalar coordinate with standard name ""height"" should be used to indicate the height of the the wind component.",magnitude_of_air_velocity_relative_to_sea_water
1188,m,,,"The quantity with standard name magnitude_of_derivative_of_position_wrt_model_level_number (known in differential geometry as a ""scale factor"") is | (dr/dk)ij|, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k). It is a measure of the gridblock spacing in the z-direction.",magnitude_of_derivative_of_position_wrt_model_level_number
1189,m,,,"The quantity with standard name magnitude_of_derivative_of_position_wrt_x_coordinate_index (known in differential geometry as a ""scale factor"") is | (dr/di)jk|, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k). It is a measure of the gridblock spacing in the x-direction.",magnitude_of_derivative_of_position_wrt_x_coordinate_index
1190,m,,,"The quantity with standard name magnitude_of_derivative_of_position_wrt_y_coordinate_index (known in differential geometry as a ""scale factor"") is | (dr/dj)ik|, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k). It is a measure of the gridblock spacing in the y-direction.",magnitude_of_derivative_of_position_wrt_y_coordinate_index
1191,W m-2,,,"""magnitude_of_X"" means magnitude of a vector X. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",magnitude_of_heat_flux_in_sea_water_due_to_advection
1192,m,,,"The phrase ""magnitude_of_X"" means magnitude of a vector X. ""Displacement"" means the change in geospatial position of an object that has moved over time. If possible, the time interval over which the motion took place should be specified using a bounds variable for the time coordinate variable. A displacement can be represented as a vector. Such a vector should however not be interpreted as describing a rectilinear, constant speed motion but merely as an indication that the start point of the vector is found at the tip of the vector after the time interval associated with the displacement variable. A displacement does not prescribe a trajectory. Sea ice displacement can be defined as a two-dimensional vector, with no vertical component. ""Sea ice"" means all ice floating in the sea which has formed from freezing sea water, rather than by other processes such as calving of land ice to form icebergs.",magnitude_of_sea_ice_displacement
1193,Pa,,,"The phrase ""magnitude_of_X"" means magnitude of a vector X. The surface called ""surface"" means the lower boundary of the atmosphere. ""Surface stress"" means the shear stress (force per unit area) exerted by the wind at the surface. A downward stress is a downward flux of momentum. Over large bodies of water, wind stress can drive near-surface currents. ""Downward"" indicates a vector component which is positive when directed downward (negative upward).",magnitude_of_surface_downward_stress
1194,kg m-3,,,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of 19’-butanoyloxyfucoxanthin is C46H64O8. The equivalent term in the NERC P01 Parameter Usage Vocabulary may be found at http://vocab.nerc.ac.uk/collection/P01/current/BUTAXXXX/1/.",mass_concentration_of_19_butanoyloxyfucoxanthin_in_sea_water
1195,kg m-3,,,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of 19'-hexanoyloxyfucoxanthin is C48H68O8. The equivalent term in the NERC P01 Parameter Usage Vocabulary may be found at http://vocab.nerc.ac.uk/collection/P01/current/HEXAXXXX/2/.",mass_concentration_of_19_hexanoyloxyfucoxanthin_in_sea_water
1196,kg m-3,,,"""Mass concentration"" means mass per unit volume and is used in the construction ""mass_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical species or biological group denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. The absorption equivalent black carbon mass concentration is obtained by conversion from the particle light absorption coefficient with a suitable mass absorption cross-section. Reference: Petzold, A., Ogren, J. A., Fiebig, M., Laj, P., Li, S.-M., Baltensperger, U., Holzer-Popp, T., Kinne, S., Pappalardo, G., Sugimoto, N., Wehrli, C., Wiedensohler, A., and Zhang, X.-Y.: Recommendations for reporting ""black carbon"" measurements, Atmos. Chem. Phys., 13, 8365–8379, https://doi.org/10.5194/acp-13-8365-2013, 2013.",mass_concentration_of_absorption_equivalent_black_carbon_of_dry_aerosol_particles_in_air
